IATA,Name,City,Official Country Name
HSA,Turkistan International Airport,Turkistan,Republic of Kazakhstan
DZN,Zhezkazgan Airport,Zhezkazgan,Republic of Kazakhstan
KGF,Sary-Arka International Airport,Karaganda,Republic of Kazakhstan
BXY,Krainiy Airport,Baikonur,Republic of Kazakhstan
KZO,Korkyt Ata Airport,Kzyl-Orda,Republic of Kazakhstan
URA,Oral Ak Zhol International Airport,Uralsk,Republic of Kazakhstan
UKK,Ust-Kamennogorsk Airport,Ust Kamenogorsk,Republic of Kazakhstan
PWQ,Pavlodar International Airport,Pavlodar,Republic of Kazakhstan
PLX,Semey International Airport,Semey,Republic of Kazakhstan
SCO,Aktau International Airport,Aktau,Republic of Kazakhstan
GUW,Atyrau International Airport,Atyrau,Republic of Kazakhstan
AKX,Aktobe Aliya Moldagulova International Airport,Aktyubinsk,Republic of Kazakhstan
KSN,Kostanay International Airport,Kostanay,Republic of Kazakhstan
GYD,Heydar Aliyev International Airport,Baku,Republic of Azerbaijan
GNJ,Ganja Airport,Ganja,Republic of Azerbaijan
LLK,Lankaran International Airport,Lankaran,Republic of Azerbaijan
NAJ,Nakhchivan Airport,Nakhchivan,Republic of Azerbaijan
GBB,Gabala International Airport,Gabala,Republic of Azerbaijan
ZTU,Zaqatala International Airport,Zaqatala,Republic of Azerbaijan
ZZE,Zangilan International Airport,Zangilan,Republic of Azerbaijan
YLV,Yevlakh Airport,Yevlakh,Republic of Azerbaijan
ZXT,Zabrat Airport,Baku,Republic of Azerbaijan
IKU,Issyk-Kul International Airport,Tamchy,Kyrgyz Republic
BSZ,Manas International Airport,Bishkek,Kyrgyz Republic
OSS,Osh Airport,Osh,Kyrgyz Republic
IKG,Karakol Airport,Karakol,Kyrgyz Republic
LWN,Gyumri Shirak Airport,Gyumri,Republic of Armenia
EVN,Zvartnots International Airport,Yerevan,Republic of Armenia
UKG,Ust-Kuyga Airport,Ust-Kuyga,Russian Federation
TLK,Talakan Airport,Lenskiy Ulus,Russian Federation
ADH,Aldan Airport,Aldan,Russian Federation
YKS,Yakutsk Airport,Yakutsk,Russian Federation
NER,Chulman Neryungri Airport,Chulman,Russian Federation
MQJ,Moma Airport,Honuu,Russian Federation
KDY,Tyopliy Klyuch Airport,Tyopliy Klyuch,Russian Federation
GYG,Magan Airport,Magan,Russian Federation
OLZ,Olyokminsk Airport,Olyokminsk,Russian Federation
USR,Ust-Nera Airport,Ust-Nera,Russian Federation
UMS,Ust-Maya Airport,Ust-Maya,Russian Federation
VHV,Verkhnevilyuisk Airport,Verkhnevilyuisk,Russian Federation
NYR,Nyurba Airport,Nyurba,Russian Federation
SUY,Suntar Airport,Suntar,Russian Federation
VYI,Vilyuisk Airport,Vilyuisk,Russian Federation
ULK,Lensk Airport,Lensk,Russian Federation
ONK,Olenyok Airport,Olenyok,Russian Federation
PYJ,Polyarny Airport,Yakutia,Russian Federation
MJZ,Mirny Airport,Mirny,Russian Federation
SYS,Saskylakh Airport,Saskylakh,Russian Federation
BGN,Belaya Gora Airport,Belaya Gora,Russian Federation
CKH,Chokurdakh Airport,Chokurdah,Russian Federation
CYX,Cherskiy Airport,Cherskiy,Russian Federation
IKS,Tiksi Airport,Tiksi,Russian Federation
ZKP,Zyryanka Airport,Zyryanka,Russian Federation
ZIX,Zhigansk Airport,Zhigansk,Russian Federation
KUT,Kopitnari Airport,Kutaisi,Georgia
BUS,Batumi International Airport,Batumi,Georgia
SUI,Sukhumi Dranda Airport,Sukhumi,Georgia
TBS,Tbilisi International Airport,Tbilisi,Georgia
BQS,Ignatyevo Airport,Blagoveschensk,Russian Federation
GDG,Magdagachi Airport,Magdagachi,Russian Federation
TYD,Tynda Airport,Tynda,Russian Federation
KHV,Khabarovsk-Novy Airport,Khabarovsk,Russian Federation
KXK,Komsomolsk-on-Amur Airport,Komsomolsk-on-Amur,Russian Federation
GVN,Maygatka Airport.,Sovetskaya Gavan,Russian Federation
DYR,Ugolny Airport,Anadyr,Russian Federation
PVS,Provideniya Bay Airport,Chukotka,Russian Federation
KPW,Keperveem Airport,Keperveem,Russian Federation
GDX,Sokol Airport,Magadan,Russian Federation
KVM,Markovo Airport,Markovo,Russian Federation
PWE,Pevek Airport,Pevek,Russian Federation
SWV,Severo-Evensk Airport,Evensk,Russian Federation
BQG,Bogorodskoye Airport,Bogorodskoye,Russian Federation
NLI,Nikolayevsk-na-Amure Airport,Nikolayevsk-na-Amure Airport,Russian Federation
OHO,Okhotsk Airport,Okhotsk,Russian Federation
PKC,Yelizovo Airport,Petropavlovsk-Kamchatsky,Russian Federation
BVV,Burevestnik Airport,Iturup Island,Russian Federation
OHH,Okha Airport,Okha,Russian Federation
