IATA,Name,City,Country_y,Alpha-2 code
YGQ,Geraldton Greenstone Regional Airport,Geraldton,Canada,CA
YGR,Iles-de-la-Madeleine Airport,Iles-de-la-Madeleine,Canada,CA
YGT,Igloolik Airport,Igloolik,Canada,CA
YGV,Havre St Pierre Airport,Havre St-Pierre,Canada,CA
YGW,Kuujjuarapik Airport,Kuujjuarapik,Canada,CA
YGX,Gillam Airport,Gillam,Canada,CA
YGZ,Grise Fiord Airport,Grise Fiord,Canada,CA
YQC,Quaqtaq Airport,Quaqtaq,Canada,CA
YHB,Hudson Bay Airport,Hudson Bay,Canada,CA
CXH,Vancouver Harbour Airport,Vancouver,Canada,CA
YHD,Dryden Regional Airport,Dryden,Canada,CA
YHE,Hope Airport,Hope,Canada,CA
YHF,Hearst Rene Fontaine Municipal Airport,Hearst,Canada,CA
YNS,Nemiscau Airport,Nemiscau,Canada,CA
YHI,Ulukhaktok Holman Airport,Ulukhaktok,Canada,CA
YHK,Gjoa Haven Airport,Gjoa Haven,Canada,CA
YHM,John C. Munro Hamilton International Airport,Hamilton,Canada,CA
YHN,Hornepayne Municipal Airport,Hornepayne,Canada,CA
YHO,Hopedale Airport,Hopedale,Canada,CA
YHR,Chevery Airport,Chevery,Canada,CA
YHT,Haines Junction Airport,Haines Junction,Canada,CA
YHU,Montréal / St-Hubert Airport,Longueuil,Canada,CA
YHY,Hay River / Merlyn Carter Airport,Hay River,Canada,CA
YHZ,Halifax Robert L. Stanfield International Airport,Halifax,Canada,CA
YIB,Atikokan Municipal Airport,Atikokan,Canada,CA
YDG,Digby / Annapolis Regional Airport,Digby,Canada,CA
YIF,St Augustin Airport,St-Augustin,Canada,CA
YIK,Ivujivik Airport,Ivujivik,Canada,CA
YIO,Pond Inlet Airport,Pond Inlet,Canada,CA
YIV,Island Lake Airport,Island Lake,Canada,CA
YJA,Jasper Airport,Jasper,Canada,CA
YJF,Fort Liard Airport,Fort Liard,Canada,CA
YJN,St-Jean Airport,Saint Jean,Canada,CA
YJT,Stephenville Airport,Stephenville,Canada,CA
YKA,Kamloops Airport,Kamloops,Canada,CA
YKC,Collins Bay Airport,Collins Bay,Canada,CA
LAK,Aklavik Airport,Aklavik,Canada,CA
YKF,Kitchener / Waterloo Airport,Waterloo,Canada,CA
YWB,Kangiqsujuaq (Wakeham Bay) Airport,Kangiqsujuaq,Canada,CA
YKJ,Key Lake Airport,Key Lake,Canada,CA
YKL,Schefferville Airport,Schefferville,Canada,CA
AKV,Akulivik Airport,Akulivik,Canada,CA
YKQ,Waskaganish Airport,Waskaganish,Canada,CA
YKX,Kirkland Lake Airport,Kirkland Lake,Canada,CA
YKY,Kindersley Airport,Kindersley,Canada,CA
YPJ,Aupaluk Airport,Aupaluk,Canada,CA
YLB,Lac La Biche Airport,Lac La Biche,Canada,CA
YLC,Kimmirut Airport,Kimmirut,Canada,CA
YLD,Chapleau Airport,Chapleau,Canada,CA
YLH,Lansdowne House Airport,Lansdowne House,Canada,CA
YLJ,Meadow Lake Airport,Meadow Lake,Canada,CA
YSG,Lutselk'e Airport,Lutselk'e,Canada,CA
YLL,Lloydminster Airport,Lloydminster,Canada,CA
YLQ,La Tuque Airport,La Tuque,Canada,CA
YLR,Leaf Rapids Airport,Leaf Rapids,Canada,CA
YLK,Barrie-Orillia (Lake Simcoe Regional Airport),Barrie-Orillia,Canada,CA
YLT,Alert Airport,Alert,Canada,CA
XGR,Kangiqsualujjuaq (Georges River) Airport,Kangiqsualujjuaq,Canada,CA
YLW,Kelowna Airport,Kelowna,Canada,CA
YMA,Mayo Airport,Mayo,Canada,CA
YME,Matane Airport,Matane,Canada,CA
YMG,Manitouwadge Airport,Manitouwadge,Canada,CA
YMH,Mary's Harbour Airport,Mary's Harbour,Canada,CA
YMJ,Moose Jaw Air Vice Marshal C. M. McEwen Airport,Moose Jaw,Canada,CA
YML,Charlevoix Airport,Charlevoix,Canada,CA
YMM,Fort McMurray Airport,Fort McMurray,Canada,CA
YMO,Moosonee Airport,Moosonee,Canada,CA
YMT,Chapais Airport,Chibougamau,Canada,CA
YUD,Umiujaq Airport,Umiujaq,Canada,CA
YMW,Maniwaki Airport,Maniwaki,Canada,CA
YMX,Montréal (Mirabel) Airport,Mirabel,Canada,CA
YNA,Natashquan Airport,Natashquan,Canada,CA
